	P0	P2	P4	P6	P8
ENSMUSG00000051951	949.8743691	1083.077124	1153.726632	1071.002071	1086.834616
ENSMUSG00000103377	107.0530852	111.1361393	90.50494727	85.54597096	62.93459926
ENSMUSG00000104017	96.87144867	109.7327006	88.40594212	69.17391023	67.35974985
ENSMUSG00000103025	34.9004393	31.32345152	31.46951488	33.45368073	20.53953407
ENSMUSG00000103201	64.96116117	48.82795344	47.79921231	52.48394848	33.84643034
ENSMUSG00000103161	105.1502413	113.4884333	91.86398029	87.2091143	78.40568943
ENSMUSG00000102331	86.39288461	67.26636857	62.70113937	60.16966149	42.81816873
ENSMUSG00000025900	24.09549294	35.71729766	129.8374187	483.4696018	289.0317719
ENSMUSG00000098104	15.02808963	9.22841392	11.10899947	10.98232723	13.39657372
ENSMUSG00000103922	30.27506601	31.21355153	31.10482616	30.71231477	44.71345947
ENSMUSG00000033845	183.6781318	189.8163256	174.9387632	190.096837	239.2860519
ENSMUSG00000025903	123.5495595	122.4162237	122.4279012	119.7672389	167.365496
ENSMUSG00000033813	360.1785417	382.0950021	371.7134788	343.2204127	401.5767433
ENSMUSG00000062588	100.5305926	95.51014809	76.72550729	73.25794467	58.59679092
ENSMUSG00000103280	26.79010917	21.71577228	15.19988761	13.43917261	14.33459666
ENSMUSG00000002459	151.2459735	183.1618194	136.4767094	120.0995979	164.4884148
ENSMUSG00000102653	12.49847612	10.10239126	7.688816879	6.904136856	4.897462694
ENSMUSG00000033793	618.6379706	612.8557232	633.4794256	627.0184215	713.3605379
ENSMUSG00000025905	4.823313563	9.149792645	8.136542181	7.031818296	1.485821646
ENSMUSG00000090031	26.81209351	16.9390642	16.11360199	13.3170622	16.30754436
ENSMUSG00000025907	1034.086269	951.3711665	971.2490947	929.8172217	978.9357684
ENSMUSG00000103845	84.51480433	84.11047495	91.70760716	88.16316744	90.23035322
ENSMUSG00000033740	19.91801536	10.54049133	15.90787025	16.32137542	19.01122361
ENSMUSG00000051285	413.9793229	516.5343224	491.9545006	392.9419824	443.7820038
ENSMUSG00000103509	56.23039248	69.80028387	56.69963655	58.17589946	57.13483215
ENSMUSG00000048538	8.129735428	7.852804029	4.751748527	6.252059476	7.882097185
ENSMUSG00000097797	17.08286111	23.07062059	23.89726019	12.90031869	14.79689821
ENSMUSG00000025909	287.2141321	226.2313691	255.4406984	282.1253867	236.9094519
ENSMUSG00000102647	22.68407457	18.05707364	18.28848095	18.56161337	19.33110611
ENSMUSG00000102253	15.33781885	15.0698434	17.92520845	21.9319848	15.40013059
ENSMUSG00000066693	10.10553599	7.881733879	9.51749503	7.162542632	8.179089873
ENSMUSG00000102316	9.659076552	12.36596618	7.955786049	7.909117027	7.123861614
ENSMUSG00000061024	62.89471019	81.33629136	78.56395269	77.12608247	96.2898379
ENSMUSG00000025911	6.044586265	3.774418034	8.770215771	4.661370776	4.341252696
ENSMUSG00000067879	40.50612813	42.88341842	48.12153756	35.52846562	6.221562309
ENSMUSG00000025912	67.4533842	96.58054227	124.4134626	96.70958512	68.4048378
ENSMUSG00000045210	587.6143629	638.8014513	578.4316607	526.3639261	561.6595145
ENSMUSG00000025915	22.54142826	17.32525005	28.33128988	23.00333382	20.6869415
ENSMUSG00000098234	68.82711758	65.74847886	53.61730409	60.04166131	67.35671106
ENSMUSG00000046101	9.748845304	6.888713224	8.650427501	12.82585068	10.41295246
ENSMUSG00000025917	373.616805	434.7906849	432.7867344	413.2204216	555.8739255
ENSMUSG00000056763	778.268533	872.1540324	787.3609438	760.0416975	652.6682009
ENSMUSG00000067851	1291.800319	1390.932395	1451.248577	1426.490508	1598.663979
ENSMUSG00000102556	28.70785908	19.51005706	13.99476795	11.69370384	9.310161236
ENSMUSG00000042501	5.0737415	2.354789495	6.515164362	10.46298755	6.317135609
ENSMUSG00000048960	23.20274738	28.5038549	26.94034949	34.07355751	36.99406467
ENSMUSG00000057715	82.95253955	110.0643713	106.5323003	106.6422136	178.5174079
ENSMUSG00000016918	52.92594183	65.20295374	69.88492637	63.92224373	33.0895785
ENSMUSG00000025938	375.0753979	259.56221	197.1678257	129.833708	80.65772509
ENSMUSG00000005886	1330.471584	1220.634231	1221.230207	1096.42472	1111.392642
ENSMUSG00000103506	24.95547977	19.47545443	23.40922336	23.45578989	13.51911647
ENSMUSG00000103495	23.2269963	17.381862	16.90675795	20.72181229	15.49744179
ENSMUSG00000104170	16.40491044	14.46633251	14.48889499	23.29492402	12.25541364
ENSMUSG00000103085	55.75717709	51.21719893	39.59740781	51.81010176	32.83157867
ENSMUSG00000102664	32.28980687	28.38023993	27.99331603	33.68344357	23.62289403
ENSMUSG00000025935	82.39329872	97.79766186	99.29917338	108.1500164	121.1173174
ENSMUSG00000025937	39.41826896	52.90621337	46.23559724	37.18149644	57.55792299
ENSMUSG00000025932	67.80979634	63.0539971	60.73144882	41.45930813	31.0280865
ENSMUSG00000082193	7.755399114	4.39052223	7.360585465	4.63324261	3.768194828
ENSMUSG00000073737	5.423368152	3.150145565	6.029289093	9.68575686	8.714147956
ENSMUSG00000092083	555.8930074	523.3578155	586.6056424	535.9033665	507.3762831
ENSMUSG00000102937	30.50350682	35.32556511	27.70057245	28.0069801	16.93612768
