id,sex,trueSex,rec.,W,N,y,x,pop,Note,distr,X,site,age,midflank,lowerflank,bibcor,face,yellowext,yellowint,crown,backcol,hi,plum.SP,period,Sex,Date,rec.2,sample.id,EV1,EV2,plateid,F,siteID,pop.SP,HI,distr.1,plateID,N.1,W.1,bird.ID,originalseq,site.1,SP,sex.1,age.1,mass,tarsus,wing,CP,bill.length,bib.length,bib.width,bib.size,breast.yellow,crown.length.yellow,crown.width,bib.L,bib.a,bib.b,crown.L,crown.a,crown.b,LEFT.cheek.L,LEFT.cheek.a,LEFT.cheek.b,RIGHT.cheek.L,RIGHT.cheek.a,RIGHT.cheek.b,back.L,back.a,back.b,breast.L,breast.a,breast.b,pc1.close,pc2.close,pc1.vocal,pc2.vocal,maintained,time.in.sight.15,time.within.5m,closest.approach,song.response,short.flight.5m,long.flight.5m,flights.within.5m,SP.pop,SP.plumageID,UWBM,Latitude,Longitude,Family,Scientific.Name,Common.Name,Sex.1,Type,Tissue.Number,Date.1,Country,State.or.Province,County,Locality,Misc..Location,Island.Group,year,flank,byellow,rank.trans.hi,rank.trans.song.response,rank.trans.pc1.close,rank.trans.R.cheek.b,rank.trans.bib.size,rank.trans.breast.yellow
tohe_plate3_41734,1,M,41734,-121.9727724,46.2528036,-121.9727724,46.2528036,R68,,-14.86410036,441,R68,ad,0.75,0.75,1,0.333333333,0.721577017,1,0.6,1,0.769363794,TOWA,1987-94,male,6/17/86,180,41734,0.009652108,-0.000288685,tohe_plate3_41734,-0.05816,R68,HZ,0.769363794,-14.86410036,plate3,46.2528036,-121.9727724,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41734,46.2528036,-121.9727724,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2546,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.75,0.860788509,0.836670549,NA,NA,NA,NA,NA
tohe_plate1_41735,1,M,41735,-121.9885063,46.2310877,-121.9885063,46.2310877,R68,,-17.28104988,442,R68,ad,0.75,0.75,0.9,0.066666667,0.464547677,0.9,0.7,1,0.691401793,Hybrid,1987-94,male,6/17/86,1,41735,-0.003819344,-0.015092026,tohe_plate1_41735,-0.08518,R68,HZ,0.691401793,-17.28104988,plate1,46.2310877,-121.9885063,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41735,46.2310877,-121.9885063,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2549,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.75,0.682273839,0.726401629,NA,NA,NA,NA,NA
tohe_plate2_41736,1,M,41736,-121.9832616,46.4084346,-121.9832616,46.4084346,R61,,-6.720838908,432,R61,ad,0.35,0.25,0.6,0,0.408924205,0.4,0.133333333,0.75,0.361532192,Hybrid,1987-94,male,6/17/86,93,41736,-0.013852125,0.001637523,tohe_plate2_41736,-0.05341,R61,HZ,0.361532192,-6.720838908,plate2,46.4084346,-121.9832616,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41736,46.4084346,-121.9832616,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2544,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0.3,0.404462103,0.122153089,NA,NA,NA,NA,NA
tohe_plate1_41737,1,M,41737,-121.8678802,46.4410085,-121.8678802,46.4410085,R61,,2.644863385,802,R61,im,0.685066308,0.651311509,NA,NA,0.442294695,0.358447307,0.31158472,0.795680937,0.519283623,Hybrid,1987-94,male,6/17/86,2,41737,-0.00417646,0.001589062,tohe_plate1_41737,-0.29535,R61,HZ,0.519283623,2.644863385,plate1,46.4410085,-121.8678802,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41737,46.4410085,-121.8678802,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2542,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0.668188909,0.400371001,0.399106389,NA,NA,NA,NA,NA
tohe_plate4_41738,1,M,41738,-121.9885063,46.4120539,-121.9885063,46.4120539,R61,,-6.893012544,431,R61,ad,0,0,0.1,0,0.181845966,0.25,0.1,0.75,0.172730746,HEWA,1987-94,male,6/17/86,271,41738,0.002304581,0.032083656,tohe_plate4_41738,0.02723,R61,HZ,0.172730746,-6.893012544,plate4,46.4120539,-121.9885063,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41738,46.4120539,-121.9885063,Emberizidae,Dendroica townsendi x occidentalis,Townsend's x Hermit Warbler,male,round,CSW 2543,6/17/86,United States of America,Washington,Lewis,Randle,,NA,1986,0,0.215922983,-0.528399301,NA,NA,NA,NA,NA
tohe_plate4_41739,1,M,41739,-121.9675278,46.245565,-121.9675278,46.245565,R68,,-15.02015564,841,R68,im,0.040154859,0.062308631,0.36101178,NA,0.021908912,0.039053762,0.069260002,0.587941147,0.123356407,HEWA,1987-94,male,6/17/86,272,41739,-0.039112211,-0.01806076,tohe_plate4_41739,0.05862,R68,HZ,0.123356407,-15.02015564,plate4,46.245565,-121.9675278,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,41739,46.245565,-121.9675278,Emberizidae,Dendroica occidentalis,Hermit Warbler,male,round,CSW 2550,6/17/86,United States of America,Washington,Skamania,Randle,,NA,1986,0.051231745,0.030481337,-0.756959588,NA,NA,NA,NA,NA
tohe_plate2_49095,1,M,49095,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,94,49095,0.134596516,0.062947508,tohe_plate2_49095,0.02363,"John Day, OR",inlandTOWA,NA,224.4146026,plate2,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49095,44.65,-118.45,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6713,6/5/94,United States of America,Oregon,Grant,John Day,just west of county line on Route 7,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate2_49096,0,F,49096,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,female,6/5/94,95,49096,0.111975881,0.03600719,tohe_plate2_49096,-0.01674,"John Day, OR",inlandTOWA,NA,224.4146026,plate2,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49096,44.65,-118.45,Emberizidae,Dendroica townsendi,Townsend's Warbler,female,round,SAR 6714,6/5/94,United States of America,Oregon,Grant,John Day,just west of county line on Route 7,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49098,1,M,49098,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,181,49098,0.142110472,0.082704798,tohe_plate3_49098,0.00013,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49098,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6716,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49099,1,M,49099,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,182,49099,0.084548989,0.025645766,tohe_plate3_49099,-0.02174,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49099,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6717,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49101,1,M,49101,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,183,49101,0.127967958,0.079900854,tohe_plate3_49101,-0.00406,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49101,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6719,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
tohe_plate3_49103,1,M,49103,-119,44,-119,44,"John Day, OR",,224.4146026,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWA,1987-94,male,6/5/94,184,49103,0.113388051,0.032152945,tohe_plate3_49103,-0.02994,"John Day, OR",inlandTOWA,NA,224.4146026,plate3,44,-119,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,49103,44.6833333,-118.4666667,Emberizidae,Dendroica townsendi,Townsend's Warbler,male,round,SAR 6721,6/5/94,United States of America,Oregon,Baker,John Day,"Snow Creek, above North Fork Burnt River",NA,1994,NA,NA,NA,NA,NA,NA,NA,NA
