"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"1","inlandTOWA","John_Day_OR","maddie_plate1_B49097",-1921714.728,6390243.144,15329971,399,172,628,-40,-38,483,1333,236,-363,842,64,386,54,-42,122,160,125,121,67,124,1315,146,-34,202,273,-101,-1321.44365251844,871.801691490788
"2","inlandTOWA","John_Day_OR","maddie_plate1_B49102",-1921714.728,6390243.144,15329971,399,172,628,-40,-38,483,1333,236,-363,842,64,386,54,-42,122,160,125,121,67,124,1315,146,-34,202,273,-101,-1321.44365251844,871.801691490788
"3","coastalTOWA","Prince_Rupert","maddie_plate1_B50262",-2145353.553,7742142.189,9827107,29,157,0,439,31,505,823,269,-304,428,112,4707,36,-42,1079,119,174,1772,497,1548,110,110,-34,161,170,-68,3165.95956740001,-1434.2191356458
"4","coastalTOWA","Prince_Rupert","maddie_plate1_B50263",-2145353.553,7742142.189,9827107,29,157,0,439,31,505,823,269,-304,428,112,4707,36,-42,1079,119,174,1772,497,1548,110,110,-34,161,170,-68,3165.95956740001,-1434.2191356458
"5","coastalTOWA","Haida_Gwaii","maddie_plate1_B50272",-2254236.342,7811317.154,9546168,110,110,6,123,9,81,1221,301,-191,440,191,1567,73,21,434,135,277,97,224,496,311,124,27,114,162,-7,185.343768231338,91.9082556817261
"6","coastalTOWA","Haida_Gwaii","maddie_plate1_B50282",-2254236.342,7811317.154,9546168,110,110,6,123,9,81,1221,301,-191,440,191,1567,73,21,434,135,277,97,224,496,311,124,27,114,162,-7,185.343768231338,91.9082556817261
"7","coastalTOWA","Prince_Rupert","maddie_plate1_B50286",-2145353.553,7742142.189,9827107,29,157,0,439,31,505,823,269,-304,428,112,4707,36,-42,1079,119,174,1772,497,1548,110,110,-34,161,170,-68,3165.95956740001,-1434.2191356458
"8","coastalTOWA","Haida_Gwaii","maddie_plate1_B50290",-2254236.342,7811317.154,9546168,110,110,6,123,9,81,1221,301,-191,440,191,1567,73,21,434,135,277,97,224,496,311,124,27,114,162,-7,185.343768231338,91.9082556817261
"9","coastalTOWA","Prince_Rupert","maddie_plate1_B50294",-2145353.553,7742142.189,9827107,29,157,0,439,31,505,823,269,-304,428,112,4707,36,-42,1079,119,174,1772,497,1548,110,110,-34,161,170,-68,3165.95956740001,-1434.2191356458
"10","coastalTOWA","Haines_AK","maddie_plate1_B50316",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"11","coastalTOWA","Haines_AK","maddie_plate1_B50317",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"12","coastalTOWA","Haines_AK","maddie_plate1_B50319",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"13","coastalTOWA","Haines_AK","maddie_plate1_B50320",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"14","coastalTOWA","Haines_AK","maddie_plate1_B50321",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"15","coastalTOWA","Bella_Coola","maddie_plate1_B50357",-2083944.97,7452528.498,11007469,20,187,0,491,41,997,409,243,-358,363,56,5149,4,-66,1226,89,101,3229,564,1789,73,75,-63,155,142,-95,4192.81190460638,-1165.07083150556
"16","coastalTOWA","Bella_Coola","maddie_plate1_B50364",-2083944.97,7452528.498,11007469,20,187,0,491,41,997,409,243,-358,363,56,5149,4,-66,1226,89,101,3229,564,1789,73,75,-63,155,142,-95,4192.81190460638,-1165.07083150556
"17","coastalTOWA","Haines_AK","maddie_plate1_B50374",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"18","coastalTOWA","Haines_AK","maddie_plate1_B50378",-2093068.785,8361728.347,7307829,59,149,0,185,24,847,641,261,-358,314,112,2060,21,-81,739,108,165,834,367,491,146,100,-61,189,140,-112,1202.70710368819,631.991605981339
"19","inlandTOWA","Dease_Lake","maddie_plate1_B50389",-1917374.902,8113766.816,8317365,203,173,129,15,-4,1760,680,240,-470,380,67,449,-9,-142,251,116,117,190,170,94,462,105,-127,258,177,-185,-183.52033755746,2103.61543454636
"20","inlandTOWA","Valemount_McBride","maddie_plate1_B50403",-1613336.843,7348106.291,11431219,53,177,0,143,19,1630,509,237,-453,338,60,1673,-12,-114,591,101,105,1082,363,531,171,90,-106,215,152,-160,1184.21080256983,1382.58788615017
"21","inlandTOWA","Valemount_McBride","maddie_plate1_B50416",-1613336.843,7348106.291,11431219,53,177,0,143,19,1630,509,237,-453,338,60,1673,-12,-114,591,101,105,1082,363,531,171,90,-106,215,152,-160,1184.21080256983,1382.58788615017
"22","coastalTOWA","N._Vancouver_Island","maddie_plate1_B50760",-2137107.969,7355926.36,11402205,82,98,25,182,6,57,1451,310,-164,527,212,2217,82,29,482,145,296,105,234,798,301,135,33,116,183,6,529.862591146329,-500.866207697978
"23","inlandTOWA","Fairbanks_AK","maddie_plate1_B53586",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"24","inlandTOWA","Fairbanks_AK","maddie_plate1_B53592",-2153187.453,9282876.142,3559299,215,143,123,6,-4,2605,1090,249,-511,347,106,363,-22,-195,237,155,138,130,181,51,655,140,-180,350,209,-241,-394.819283504523,2447.80585773616
"25","coastalTOWA","Valdez_AK","maddie_plate1_B53828",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"26","coastalTOWA","Valdez_AK","maddie_plate1_B53849",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"27","inlandTOWA","Lowell_ID","maddie_plate1_B72400",-1617642.403,6518965.316,14809315,329,128,509,-38,-39,234,2320,272,-269,974,144,599,97,-12,251,210,222,43,127,123,837,198,2,222,316,-53,-1340.81866393829,223.785481760784
"28","inlandTOWA","Lowman_ID","maddie_plate1_B72406",-1690957.7,6305031.032,15676152,204,136,464,7,-34,391,2023,279,-307,844,143,871,78,-28,202,202,202,233,99,351,1000,187,-24,230,287,-67,-1016.84893024938,225.015592934283
"29","inlandTOWA","Lolo_MT","maddie_plate1_B72418",-1435389.313,6577791.426,14569367,190,144,286,23,-20,601,1439,264,-340,673,120,804,53,-52,256,171,176,309,137,296,668,157,-45,223,244,-90,-544.300828470654,750.306230907613
"30","coastalTOWA","Valdez_AK","maddie_plate1_B84825",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
