chr2R	20448540	20449841	0.0986	66.8453708634308
chr3R	23113009	23113858	0.051	85.8671788538118
chr2R	8375217	8376423	0.0772	73.9051068456274
chr3L	4374026	4374766	0.0887	69.8984417049677
chr2R	7600212	7601324	0.0891	69.7686151605506
chrX	1988534	1989352	0.0975	67.1690794182495
chr3R	23247593	23248275	0.0799	72.9132137324295
chrX	6353044	6353623	0.0829	71.849681761074
chr3L	21219262	21219560	0.0889	69.8334554143936
chr2L	18314989	18315585	0.0891	69.7686151605506
chr2R	13430705	13431338	0.0418	91.6070649493713
chr3L	6097075	6097928	0.0485	87.3174288494992
chrX	10624755	10625119	0.0493	86.8453708634308
chr2L	11920507	11921342	0.0503	86.2659557948784
chrX	10369228	10369692	0.0611	80.6536761946144
chr3R	24574912	24575487	0.0625	80
chr3R	25660024	25660707	0.0708	76.402136589329
chr3L	292256	293218	0.0773	73.867755512492
chr2L	9752367	9753039	0.0777	73.7188318228348
chr2L	9532992	9533784	0.088	70.1270533204958
chr2L	940396	941331	0.089	69.8010170739138
chr2R	7953017	7953666	0.0966	67.4366600142735
chr2L	4162460	4163191	0.0248	106.670321383251
chr3L	9468977	9469913	0.0301	101.081854055795
chrX	7464610	7465961	0.0342	97.397197293271
chr3R	29089245	29089696	0.049	87.0214888109376
chr2L	6583915	6584588	0.0605	80.9384209477498
chr3R	14024410	14025577	0.0641	79.2706366586142
chr3L	10226769	10227254	0.0668	78.080161741508
chr3L	1488653	1489217	0.067	77.9939018840863
chr3L	15997089	15997545	0.067	77.9939018840863
chr3R	4449000	4449779	0.0682	77.4816890105055
chr2R	12678980	12679875	0.0723	75.7972108519666
chr3R	12538406	12539148	0.075	74.7393118833241
chr2L	13321829	13322870	0.0765	74.1679288393887
chr3L	18787802	18788182	0.0774	73.8304524681008
chrX	7105685	7106224	0.0789	73.2766177907198
chrX	8394884	8395492	0.079	73.2400707296997
chr3R	10240205	10240932	0.0799	72.9132137324295
chrX	2773224	2773737	0.0815	72.3411226086202
chr3R	5343567	5344592	0.0817	72.2704022280753
chr3L	21079929	21080593	0.0834	71.6761761220957
chr3L	2411801	2412460	0.0857	70.891219708739
chr3R	5575767	5576466	0.09	69.4786237666482
chr3L	5656651	5657098	0.0902	69.4145751258814
chr3R	19991120	19992018	0.0973	67.2283276953668
chrX	19793564	19794031	0.0984	66.9039574842042
chr2R	22859909	22860652	0.0991	66.6994226472592
chr3L	21211500	21212380	0.0175	116.730025354342
chr2L	11247050	11248462	0.0284	102.759305200895
chr3R	9833157	9834098	0.0334	98.0801617415079
chr3L	5705767	5706391	0.0335	97.9939018840863
chr2R	17721391	17722101	0.0353	96.4837601255654
chrX	15379039	15379906	0.0374	94.8163583932362
chr3R	23068904	23069753	0.0381	94.2813038411225
chr2L	15012536	15012973	0.0393	93.3865375458169
chr2R	15008707	15009513	0.0405	92.5186856355492
chr2R	19886361	19887484	0.0453	89.2869027900643
chrX	12752403	12752807	0.0457	89.0332404898276
chr3R	22139851	22140430	0.0461	88.7817887824022
chr3L	17976369	17976921	0.0465	88.5325094710811
chrX	6182308	6182742	0.0517	85.4738381846903
chr2L	11245789	11246290	0.0552	83.5837584554256
chr2R	7138766	7139810	0.0553	83.5315341862948
chr3R	25174487	25175388	0.0584	81.9577564133886
chrX	3047189	3048087	0.0608	80.7956973221173
chrX	5160124	5161198	0.0613	80.5593823171734
chr3L	5101417	5102286	0.0637	79.451256345863
chr2R	12017317	12017983	0.0695	76.9368642387716
chrX	2808858	2809423	0.0718	75.997446914528
chrX	10737328	10738470	0.072	75.9171856643955
chr2L	15200315	15200890	0.0729	75.5587475044503
