chr3L	18794795	18795433	1.18e-232	15408.9706230856
chr3L	18795775	18796192	0	19000
chr3R	10077277	10077871	0	19000
chr3L	18305812	18306230	9.27e-148	9768.65577408958
chr2L	19402790	19403022	3.19e-201	13320.6798129674
chr2L	6086779	6087117	2.56e-226	14987.9921126864
chr3L	4465116	4465524	0	19000
chr3L	4465632	4465855	1.05e-222	14747.9529547421
chr3L	18796779	18796905	1.81e-174	11543.1899762619
chr3L	17927841	17928495	7.95e-173	11434.0521111023
chr3L	4466050	4466403	4.34e-301	19955.6532303685
chr3L	17928892	17929141	3.82e-181	11986.708250727
chr3L	18036071	18036700	5.41e-184	12175.9828173045
chr3R	14013747	14014220	3.25e-280	18568.7885370064
chr3L	18035056	18035321	7.51e-202	13362.4132451902
chr2L	483521	483640	1.31e-180	11951.1498053593
chr3L	18027312	18027797	0	19000
chrX	18002092	18002806	0	19000
chr2L	9209755	9210230	1.1e-289	19197.994317974
chrX	4666051	4666418	1.46e-178	11815.1446504169
chr3R	13972351	13972993	9.96999999999999e-299	19798.778137334
chr2L	6082366	6082619	9.47e-171	11296.1267960009
chr2L	1807410	1807516	5.04e-93	6132.11778181599
chr2L	1775639	1775784	4.66e-93	6134.3796573929
chrX	2638921	2639209	2.1e-240	15923.8470689015
chr3L	8818593	8819064	1.91e-211	13999.8651076594
chr3L	18305215	18305478	1.96e-208	13799.8038016446
chr3L	8979816	8980334	0	19000
chr3L	17604912	17605187	6.79e-236	15624.2323763789
chr3L	16245212	16245467	4.26e-217	14375.3508632021
chr3L	3748798	3749099	1.49e-183	12146.750580674
chrX	18123493	18124317	0	19000
chr3L	18781567	18782114	6.93000190007933e-318	21071.6055685252
chr2L	6089100	6089448	4.42e-293	19423.6177086476
chrX	16697329	16697543	3.59e-119	7869.30918895096
chr3R	30458613	30459032	7.81e-151	9972.91639559249
chrX	9505474	9506042	2.89e-182	12061.1968755355
chrX	13933859	13934241	3.91e-144	9527.80954112495
chrX	7088881	7089809	6.69e-298	19743.8513213113
chr3R	21197038	21197456	1.23e-202	13414.6163370337
chr2L	21116572	21117308	5.5e-292	19350.8714417695
chr3L	16781352	16781860	4.44e-275	18227.593328349
chrX	16696610	16697071	2.11e-112	7419.57407256904
chrX	19881810	19882425	2.43e-273	18112.1082718084
