chr3L	5163349	5163698	5.65e-68	4467.85719169626
chr2L	2807900	2808224	1.02e-30	1992.58547388848
chr2R	1590427	1590624	1.19e-15	991.559196995544
chr3L	26122	26219	2.54e-08	504.611925242029
chr2L	2722581	2722697	3.67e-10	626.870017716103
chr3R	30781865	30782186	1.24e-34	2252.70430211116
chr3R	10527687	10527882	1.27e-15	989.68185852626
chr2L	2714091	2714311	1.15e-15	992.545751242816
chr3L	22191	22440	6.81e-18	1140.5410181947
chr3L	32858	33202	1.64e-16	1048.74307406709
chr3R	30359067	30359520	1.69e-14	914.999401638312
chr3R	30052093	30052356	1.77e-20	1312.29625074878
chr2R	11202340	11202719	1.53e-18	1183.62348110109
chr3L	25358	25446	6.82e-06	343.235936601495
chr2R	1211472	1211625	2.03e-07	444.640338736022
chr2R	21056815	21056976	7.16e-10	607.586427227682
chr3L	648050	648179	2.98e-06	367.125124772735
chr2R	11197227	11197552	6.63e-14	875.559689161704
chr2R	20189955	20190084	6.02e-05	280.397539749037
chr3R	23211728	23211950	2.05e-10	643.673140782858
chr2L	7313364	7313512	9.1e-06	334.914040480257
chr3L	26597	27180	3.11e-08	498.77020357486
chrX	22444105	22444206	4.28e-05	290.240593556208
chr3L	520722	520917	1.66e-06	384.007706555039
chr2L	10039170	10039526	5.12e-10	617.262742772967
chr3R	16791560	16791755	9.87e-06	332.57036969285
chr2L	6124843	6124941	0.000196	246.337174504179
chr2R	17394687	17394935	3.01e-07	433.274663544531
chr3R	16385646	16385960	1.96e-08	512.091422095168
chr3R	16695612	16695839	7.18e-07	408.190256403264
chr2L	4958289	4958383	0.000195	246.484765111491
chr2R	8270866	8271039	1.64e-05	317.918893191869
chr2R	1440964	1441261	5.59e-08	481.851529520609
chrX	4600053	4600320	9.05e-10	600.827263133556
chr2R	11969364	11969453	0.00542	150.549828661659
chr3R	10571265	10571602	3.02e-10	632.494647986465
chr2L	23065287	23065432	0.000367	228.238646329619
chr2R	9978839	9979352	6.81e-14	874.786770603715
chr3R	30270382	30270690	2.97e-09	566.537798459204
chr3L	180070	180374	9.79e-09	532.120879883146
chr3R	31168580	31168718	6.01e-06	346.884071567754
chr2R	22013449	22013701	3.01e-05	300.397539749037
