chr3L	18786024	18786158	1.28e-84	5573.71632320626
chr3L	18783587	18784312	1.17e-72	4779.04628604163
chr2L	16673162	16673669	1.31e-97	6436.74916784623
chr2L	16672088	16672878	9.46e-135	8904.36905252458
chrX	18123493	18124317	1.17e-145	9629.06130457718
chr2R	24433781	24434153	1.2e-105	6970.78831114678
chr3R	9981127	9982107	1.24e-112	7434.91213013545
chr2L	1807410	1807516	3.31e-47	3088.07578485347
chr2L	1775639	1775784	3.22e-42	2756.67838593859
chrX	11730403	11730837	7.73e-135	8910.19648791288
chrX	3646420	3646996	1.38e-97	6435.24713874141
chrX	1966289	1966834	9.1e-66	4321.22775434509
chr3L	18794795	18795433	3.84e-108	7136.54255873777
chrX	18125817	18126167	5.46e-75	4933.91412330814
chrX	5453081	5453435	1.4e-76	5039.62216768539
chrX	9505474	9506042	2.56e-70	4623.5764566378
chrX	18120157	18120399	8.21e-92	6051.60005015269
chrX	1968644	1969035	1.02e-51	3387.79527374117
chr2L	9859966	9860228	6.89e-110	7252.55172909361
chr2L	4430829	4431015	1.12e-66	4381.67511060566
chr2R	9296586	9296871	7.17e-119	7849.34940345338
chr3R	13972351	13972993	2.02e-150	9945.49717880255
chr3R	13579894	13580420	9.7e-154	10165.9788373071
chr3R	9876380	9876819	4.67e-93	6134.3178054918
chr3L	20883950	20884093	1.92e-86	5694.89419698733
chr3L	5643722	5644029	3.87e-78	5143.16115669689
chr3R	9946522	9946994	1.36e-77	5106.89713309703
chrX	6491829	6492596	2.51e-106	7015.93381387769
chrX	1987224	1987395	3.73e-81	5343.54000110792
chr2L	16229955	16230098	1.45e-30	1982.43579892761
chrX	5752286	5752935	3.28e-116	7672.59926384181
chrX	8394886	8395491	1.67e-58	3838.63962801535
chr3R	10967549	10967888	6.33e-40	2604.29836591682
chr3R	9982338	9983072	5.73e-173	11443.5005055306
chrX	9348216	9348553	2.08e-100	6622.7245192074
chr2R	22957906	22958436	1.05e-79	5247.2386033642
chr3L	5689193	5689853	2.39e-123	8146.80290105879
chr2L	16945689	16946452	1.52e-74	4904.37215395992
chrX	1973381	1974002	2.64e-57	3758.98726957992
chr3L	18781567	18782114	7.63e-157	10372.2205568051
chr3L	16243853	16244228	7.11e-130	8580.41605551025
chr2L	21116572	21117308	7.13e-103	6786.49383393458
chr3L	5101421	5102286	4.57e-90	5935.62668749159
chr2L	18033360	18033775	1.19e-71	4712.11866326939
chr3L	17603769	17604295	1.54e-170	11282.0969155986
chr2L	15585672	15586189	3.4e-118	7804.43960900691
chr3R	9948677	9949030	2.66e-104	6881.38191245118
chrX	9351390	9351852	5.2e-86	5666.14609074119
chr3R	9285866	9286713	1.78e-62	4102.5532928365
chr3L	8979816	8980334	7.36e-123	8114.34899809727
chr2L	3142352	3142774	2.3e-102	6752.70063634683
chrX	2838576	2839498	7.87e-102	6717.20604085556
chr3L	10032033	10032417	7.77e-100	6584.69789780207
chr3L	3426374	3426484	3.51e-29	1890.48887442407
chr3L	3428074	3428639	2.62e-117	7745.52040580117
