track name="82h_ATAC_FDR0.1_100bp_up"
description="82h_ATAC_FDR0.1_100bp_pu" color=100,50,0 useScore=1

seqnames	start	end	FDR	V12
chr3L	5163331	5163702	1.9e-76	5030.81071585767
chr2L	2807904	2808448	1.14e-10	660.604942489672
chr2R	1211464	1211593	0.000134	257.309587577328
chr3L	34580	35070	2.11e-07	443.525073305582
chr3R	30359328	30359445	2.02e-08	511.221389322437
chr3R	10527685	10527886	1.22e-07	459.332310328467
chr3L	6666187	6666378	0.00283	169.299644632099
chr3L	22191	22434	1.32e-10	656.374860385798
chrX	22444083	22444206	0.000506	218.971499892597
chr3L	648071	648186	0.00467	154.847234694543
chr3L	32820	33254	1.28e-09	590.82418087522
chr3R	30781860	30782207	9.65e-11	665.413602027605
chr2L	7313369	7313500	0.00123	193.342519381951
chr2R	21056805	21056972	9.75e-06	332.923327009239
chr2L	5705222	5705344	0.0207	111.884508441002
chr3R	23211675	23211959	1.74e-05	316.211063367256
chr2L	4958300	4958375	0.0175	116.730025354342
chr3R	30052084	30052356	4.43e-06	355.685237410878
chrX	3544455	3544695	0.051	85.8671788538118
chr3R	11117396	11117504	0.012	127.616435678819
chr2L	9300992	9301107	0.00281	169.504283084318
chr3R	23369206	23369345	0.0225	109.478623766648
chr2R	11197219	11197585	2.13e-06	376.814302777461
chr2R	1440964	1441179	0.000906	202.164026585559
chr2R	8270766	8271012	0.00224	176.045711047584
chr2L	3353087	3353222	0.0111	129.865930263987
chr2R	15250965	15251084	0.0126	126.208649120991
chr3R	16791556	16791753	0.0111	129.865930263987
chr3R	16695600	16695863	0.000236	240.978510399247
chrX	687692	687877	0.0014	189.607149149837
chr3L	8096416	8096559	0.0406	92.4475292472855
chr3R	11151147	11151419	0.0274	103.793605931778
chr2L	2714067	2714699	1.9e-05	313.672821117612
chr2R	17394716	17394931	0.00268	170.871025679581
chr2L	20689630	20689807	0.0304	100.795697322117
chr3L	33490	33693	0.0585	81.9083913015736
chr3L	520714	520917	0.0407	92.376547905664
chrX	3535718	3535918	0.0722	75.8371470532456
chr3L	21815	21941	6.84e-05	276.712882986513
chr2L	2722406	2722828	0.000549	216.618124606379
chr3R	31168572	31168707	0.00951	134.326778871525
chrX	7319437	7319652	0.0196	113.460050708685
chr3L	485227	485427	0.0577	82.3056974180793
chr3R	26144001	26144163	0.0443	89.9309898198886
chr2R	8714479	8714666	0.0965	67.4665449478801
chr2L	4154730	4154891	0.0049	153.460050708685
chr3L	6845537	6846217	5.18e-06	351.172329428247
chr3L	14580195	14580655	2.18e-05	309.706246788692
chr3R	18519087	18519348	0.0287	102.456109057475
chr3R	9593598	9593757	0.0326	98.7796845063674
