seqnames	start	end	FDR	V12
chrUn_DS485504v1	102	462	1.37e-11	721.740663011504
chrX	23217034	23217229	8.89e-29	1863.67462665357
chr3R	11040866	11041443	4.1e-68	4477.1097308522
chrUn_DS485255v1	563	797	6.17e-16	1010.51158057646
chrUn_DS483817v1	2709	2899	3.24e-08	497.58861891978
chrUn_DS484394v1	1021	1127	1.48e-09	586.635113562641
chrUn_DS483817v1	3340	3720	6.52e-11	676.726741586093
chrX_DS484618v1_random	525	612	9.99e-20	1262.36154439459
chr3R	232535	232705	2.83e-11	700.808139814077
chr3R	26323981	26324322	5.62e-41	2674.16963519871
chrUn_DS484383v1	1916	2088	1.31e-11	723.032844639965
chr2L	2518930	2519728	2.7e-64	4223.4087733103
chr2L	16955509	16955669	1.25e-40	2651.10391401214
chrX_DS484809v1_random	1188	1293	4.04e-21	1354.92269399315
chr3L	2974509	2975004	1.35e-50	3313.26890674184
chr3R	17368319	17368869	2.4e-57	3761.73734005492
chrUn_DS483817v1	470	764	1.06e-07	463.388647988461
chr2L	18311976	18312338	2.99e-71	4685.53498505159
chr3L	15463549	15464056	7.64e-33	2133.80108986044
chr3R	21978545	21979505	3.95e-80	5275.44789875398
chrX	20888878	20889491	1.83e-25	1643.52717447349
chr2L	18312629	18313249	2.74e-58	3824.35307220562
chr2L	16954821	16955297	6.48e-43	2802.93828534093
chr3L	10198060	10198638	1.33e-26	1719.1740844269
chr3R	23032247	23032558	3.14e-23	1495.07163246585
chr2L	3951406	3951746	4.24e-21	1353.52851455692
chr2L	18236840	18237046	2.71e-38	2495.89949508281
chr3R	20123156	20123688	3.68e-31	2022.00130350452
chr3R	506141	506217	4.98e-07	418.747018438364
chrX_DS485238v1_random	737	1037	2.31e-07	440.912076251404
chr3R	20130634	20131339	5.85e-61	4001.78354326866
chr2L	12239207	12239751	1.71e-55	3638.64097787387
chr3R	31121675	31121913	4.93e-37	2412.19503728458
chr3L	13101316	13101480	4.33e-24	1552.23814504689
chr2L	16672160	16672395	6.99e-28	1804.17388402491
chrX	17594691	17594847	1.44e-22	1451.12698551709
chr3L	9226561	9227204	2.16e-22	1439.42773550266
chr3R	11825	12155	5.01e-07	418.573721215821
chr3R	28936288	28936542	8.83e-48	3126.20270233439
chr2R	17923421	17923634	2.81e-33	2162.66114001674
chr3L	5999166	5999268	5.51e-24	1545.28443917001
chr3L	2015992	2016213	7.17e-36	2334.94876594036
chrX_DS484633v1_random	125	250	1.06e-07	463.388647988461
chr3L	10136901	10137374	6.37e-43	2803.4322941535
chr3R	22911709	22911988	5.77e-26	1676.83118296401
chr2L	18261105	18261826	1.17e-52	3450.27504808668
chr2R	16973242	16973597	1.55e-38	2512.0199878044
chr2L	18169355	18169699	2.89e-31	2028.97402897565
chr2R	23105692	23105889	1.76e-18	1179.5826055822
